#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_017586.1	51772	52773	-	-	-	SCATT_RS00260	WP_014627209.1	333	sugar/fatty acid transferase
chr	NC_017586.1	52797	57005	-	-	-	SCATT_RS00265	WP_042507599.1	1402	type I polyketide synthase
chr	NC_017586.1	57059	58876	-	-	-	SCATT_RS00270	WP_014140837.1	605	fatty-acid--CoA ligase
chr	NC_017586.1	58990	60567	-	-	-	SCATT_RS00275	WP_014140838.1	525	acyl-CoA carboxylase subunit beta
chr	NC_017586.1	60916	62250	+	-	-	SCATT_RS00280	WP_014140839.1	444	triacylglycerol lipase
chr	NC_017586.1	62409	63617	+	-	-	SCATT_RS00285	WP_014140840.1	402	PucR family transcriptional regulator
chr	NC_017586.1	63650	64615	+	-	-	SCATT_RS00290	WP_014140841.1	321	CapA family protein
chr	NC_017586.1	64735	65184	+	-	-	SCATT_RS00295	WP_014140842.1	149	hypothetical protein
chr	NC_017586.1	65305	66948	-	-	-	SCATT_RS00300	WP_014140843.1	547	APC family permease
chr	NC_017586.1	67237	68667	-	-	-	SCATT_RS00305	WP_014140844.1	476	beta-glucosidase
chr	NC_017586.1	68748	69617	-	-	-	SCATT_RS00310	WP_014140845.1	289	carbohydrate ABC transporter permease
chr	NC_017586.1	69614	70636	-	-	-	SCATT_RS00315	WP_014140846.1	340	sugar ABC transporter permease
chr	NC_017586.1	70730	72064	-	-	-	SCATT_RS00320	WP_014140847.1	444	sugar ABC transporter substrate-binding protein
chr	NC_017586.1	72302	73363	+	-	-	SCATT_RS00325	WP_014140848.1	353	LacI family transcriptional regulator
chr	NC_017586.1	73682	75670	+	-	-	SCATT_RS00330	WP_042507546.1	662	glycoside hydrolase
chr	NC_017586.1	75876	76814	+	-	-	SCATT_RS00335	WP_014140850.1	312	glycerophosphoryl diester phosphodiesterase
chr	NC_017586.1	77230	79047	+	-	-	SCATT_RS00340	WP_014140852.1	605	asparagine synthase
chr	NC_017586.1	79095	79301	+	-	-	SCATT_RS00345	WP_078590844.1	68	lasso peptide biosynthesis PqqD family chaperone
chr	NC_017586.1	79298	79729	+	-	-	SCATT_RS00350	WP_014140854.1	143	lasso peptide biosynthesis B2 protein
chr	NC_017586.1	79824	80438	-	-	-	SCATT_RS00355	WP_014140855.1	204	TetR family transcriptional regulator
chr	NC_017586.1	80589	81458	+	-	-	SCATT_RS00360	WP_014140856.1	289	KR domain-containing protein
chr	NC_017586.1	81481	82905	-	-	-	SCATT_RS00365	WP_014140857.1	474	hypothetical protein
chr	NC_017586.1	82902	84653	-	-	treS	SCATT_RS00370	WP_014140858.1	583	maltose alpha-D-glucosyltransferase
chr	NC_017586.1	84885	86027	-	-	-	SCATT_RS00375	WP_014140859.1	380	acyltransferase
chr	NC_017586.1	86330	87157	+	-	-	SCATT_RS00380	WP_014140860.1	275	type 1 glutamine amidotransferase domain-containing protein
chr	NC_017586.1	87246	88877	+	-	-	SCATT_RS00385	WP_014140861.1	543	thiamine pyrophosphate-binding protein
chr	NC_017586.1	88918	89367	+	-	-	SCATT_RS00390	WP_014140862.1	149	nuclear transport factor 2 family protein
chr	NC_017586.1	89433	90044	+	-	-	SCATT_RS00395	WP_014140863.1	203	thiazole biosynthesis protein ThiJ
chr	NC_017586.1	90041	91861	+	-	-	SCATT_RS00400	WP_014140864.1	606	N-acyl-D-glucosamine 2-epimerase
chr	NC_017586.1	91962	92615	-	-	-	SCATT_RS00405	WP_014140865.1	217	dithiol-disulfide isomerase
chr	NC_017586.1	92612	93838	-	-	-	SCATT_RS00410	WP_014140866.1	408	acyltransferase
chr	NC_017586.1	94016	95485	-	-	-	SCATT_RS00415	WP_014140867.1	489	MFS transporter
chr	NC_017586.1	95790	96818	-	-	-	SCATT_RS00420	WP_014140868.1	342	hypothetical protein
chr	NC_017586.1	96849	98036	-	-	-	SCATT_RS00425	WP_014140869.1	395	hypothetical protein
chr	NC_017586.1	98854	100038	+	-	-	SCATT_RS00430	WP_014140870.1	394	methyltransferase domain-containing protein
chr	NC_017586.1	100495	102810	+	-	-	SCATT_RS00435	WP_014140871.1	771	serine/threonine protein kinase
chr	NC_017586.1	102824	103999	-	-	-	SCATT_RS00440	WP_014140872.1	391	xylose isomerase
chr	NC_017586.1	104127	105587	+	-	xylB	SCATT_RS00445	WP_014140873.1	486	xylulokinase
chr	NC_017586.1	105593	106831	+	-	-	SCATT_RS00450	WP_014140874.1	412	ROK family transcriptional regulator
chr	NC_017586.1	107247	109121	+	-	-	SCATT_RS00455	WP_078590845.1	624	beta-glucosidase
chr	NC_017586.1	109167	109949	-	-	-	SCATT_RS00460	WP_014140876.1	260	VOC family protein
chr	NC_017586.1	110092	111831	-	-	-	SCATT_RS00465	WP_014140877.1	579	ubiquinone-dependent pyruvate dehydrogenase
chr	NC_017586.1	112087	112989	+	-	-	SCATT_RS00470	WP_014140878.1	300	aquaporin family protein
chr	NC_017586.1	113023	114537	+	-	glpK	SCATT_RS00475	WP_014140879.1	504	glycerol kinase
chr	NC_017586.1	114676	115218	+	-	-	SCATT_RS00480	WP_014140880.1	180	hypothetical protein
chr	NC_017586.1	115357	116874	+	-	-	SCATT_RS00485	WP_014140881.1	505	carbohydrate-binding protein
chr	NC_017586.1	116917	117147	+	-	-	SCATT_RS00490	WP_014140882.1	76	DUF2277 domain-containing protein
chr	NC_017586.1	117212	118135	-	-	-	SCATT_RS00495	WP_014140883.1	307	polysaccharide deacetylase family protein
chr	NC_017586.1	118712	119890	+	-	-	SCATT_RS00500	WP_014140884.1	392	hypothetical protein
chr	NC_017586.1	120052	121530	+	-	-	SCATT_RS00505	WP_014627221.1	492	glutamate--cysteine ligase
chr	NC_017586.1	121668	122774	+	-	-	SCATT_RS00510	WP_014140886.1	368	hypothetical protein
chr	NC_017586.1	122863	123426	+	-	-	SCATT_RS00515	WP_014140887.1	187	GNAT family N-acetyltransferase
chr	NC_017586.1	123516	124982	+	-	-	SCATT_RS00520	WP_014140888.1	488	phosphohydrolase
chr	NC_017586.1	125072	125857	+	-	-	SCATT_RS00525	WP_014140889.1	261	DUF72 domain-containing protein
chr	NC_017586.1	125974	126939	+	-	-	SCATT_RS00530	WP_014140890.1	321	D-alanyl-D-alanine carboxypeptidase
chr	NC_017586.1	127454	127849	+	-	-	SCATT_RS00535	WP_014140891.1	131	lytic transglycosylase domain-containing protein
chr	NC_017586.1	128044	130809	+	-	-	SCATT_RS00540	WP_014140892.1	921	histidine kinase
chr	NC_017586.1	130879	131373	-	-	-	SCATT_RS00545	WP_086010104.1	164	DUF1360 domain-containing protein
chr	NC_017586.1	131632	133032	+	-	lpdA	SCATT_RS00550	WP_014140894.1	466	dihydrolipoyl dehydrogenase
chr	NC_017586.1	134176	134448	+	-	-	SCATT_RS00555	WP_014140895.1	90	hypothetical protein
chr	NC_017586.1	134445	135626	+	-	-	SCATT_RS00560	WP_014140896.1	393	LLM class flavin-dependent oxidoreductase
chr	NC_017586.1	135869	136702	+	-	-	SCATT_RS00565	WP_014140897.1	277	SDR family NAD(P)-dependent oxidoreductase
chr	NC_017586.1	136793	137098	+	-	-	SCATT_RS35820	WP_014140898.1	101	hypothetical protein
chr	NC_017586.1	137239	138603	+	-	ccrA	SCATT_RS00570	WP_014140899.1	454	crotonyl-CoA carboxylase/reductase
chr	NC_017586.1	139045	139374	+	-	-	SCATT_RS35620	WP_014140901.1	109	integrase, partial
chr	NC_017586.1	139609	142386	+	-	-	SCATT_RS00580	WP_014140903.1	925	helix-turn-helix transcriptional regulator
chr	NC_017586.1	142847	143074	+	-	-	SCATT_RS00585	WP_014627227.1	75	hypothetical protein
chr	NC_017586.1	143554	144780	-	-	-	SCATT_RS00590	WP_014627229.1	408	cytochrome P450
chr	NC_017586.1	144777	145796	-	-	-	SCATT_RS00595	WP_014140907.1	339	thioesterase
chr	NC_017586.1	145951	146400	-	-	-	SCATT_RS00600	WP_014140908.1	149	nuclear transport factor 2 family protein
chr	NC_017586.1	146521	147363	-	-	-	SCATT_RS00605	WP_014140909.1	280	NAD(P)-dependent oxidoreductase
chr	NC_017586.1	147412	147834	-	-	-	SCATT_RS00610	WP_014140910.1	140	hypothetical protein
chr	NC_017586.1	147862	148263	-	-	-	SCATT_RS00615	WP_014627233.1	133	nuclear transport factor 2 family protein
chr	NC_017586.1	148260	149510	-	-	-	SCATT_RS00620	WP_014140912.1	416	cytochrome P450
chr	NC_017586.1	149576	167953	-	-	-	SCATT_RS00625	WP_014140913.1	6125	KR domain-containing protein
chr	NC_017586.1	167950	180999	-	-	-	SCATT_RS00630	WP_014140914.1	4349	type I polyketide synthase
chr	NC_017586.1	181103	181621	-	-	-	SCATT_RS00635	WP_014140915.1	172	pyridoxamine 5\'-phosphate oxidase family protein
chr	NC_017586.1	181992	193787	+	-	-	SCATT_RS00640	WP_014140917.1	3931	KR domain-containing protein
chr	NC_017586.1	193842	197879	+	-	-	SCATT_RS00645	WP_014140918.1	1345	polyketide synthase
chr	NC_017586.1	199795	200928	+	-	-	SCATT_RS00660	WP_014140921.1	377	galactose-1-epimerase
chr	NC_017586.1	201277	201885	-	-	-	SCATT_RS00665	WP_014140922.1	202	TetR/AcrR family transcriptional regulator
chr	NC_017586.1	203116	204216	+	-	-	SCATT_RS00675	WP_014140923.1	366	oxidoreductase
chr	NC_017586.1	204371	204550	-	-	-	SCATT_RS00680	WP_014140924.1	59	hypothetical protein
chr	NC_017586.1	204694	205464	+	-	-	SCATT_RS00685	WP_014627237.1	256	IS5/IS1182 family transposase
chr	NC_017586.1	205593	205832	+	-	-	SCATT_RS00690	WP_041824289.1	79	hypothetical protein
chr	NC_017586.1	205981	207231	-	-	-	SCATT_RS00695	WP_014140927.1	416	hypothetical protein
chr	NC_017586.1	208072	208401	-	-	-	SCATT_RS00700	WP_014140930.1	109	hypothetical protein
chr	NC_017586.1	208663	209349	-	-	-	SCATT_RS00710	WP_014140931.1	228	dipeptidase
chr	NC_017586.1	209404	210147	+	-	-	SCATT_RS35830	WP_078590595.1	247	hypothetical protein
chr	NC_017586.1	210039	210992	-	-	-	SCATT_RS00715	WP_014627240.1	317	NADP-dependent oxidoreductase
chr	NC_017586.1	210989	211399	-	-	-	SCATT_RS00720	WP_014140933.1	136	KR domain-containing protein
chr	NC_017586.1	211462	212172	-	-	-	SCATT_RS00725	WP_014140934.1	236	KR domain-containing protein
chr	NC_017586.1	212378	213301	+	-	-	SCATT_RS00730	WP_014140935.1	307	LysR family transcriptional regulator
chr	NC_017586.1	213395	213565	-	-	-	SCATT_RS00735	WP_014140936.1	56	hypothetical protein
chr	NC_017586.1	213697	213948	+	-	-	SCATT_RS00740	WP_014140937.1	83	hypothetical protein
chr	NC_017586.1	213975	215486	-	-	-	SCATT_RS00745	WP_078590847.1	503	NAD(P)/FAD-dependent oxidoreductase
chr	NC_017586.1	215880	216464	-	-	-	SCATT_RS00750	WP_014140940.1	194	hypothetical protein
chr	NC_017586.1	216516	217961	+	-	-	SCATT_RS00755	WP_014140941.1	481	MFS transporter
chr	NC_017586.1	218013	219134	+	-	-	SCATT_RS00760	WP_014140942.1	373	epoxide hydrolase
chr	NC_017586.1	219173	219643	+	-	-	SCATT_RS35835	WP_078590597.1	156	hypothetical protein
chr	NC_017586.1	219726	220646	-	-	-	SCATT_RS00765	WP_014140944.1	306	alpha/beta hydrolase
chr	NC_017586.1	220819	222270	-	-	-	SCATT_RS00770	WP_014140945.1	483	amidase
chr	NC_017586.1	222403	223029	+	-	-	SCATT_RS00775	WP_041824299.1	208	TetR/AcrR family transcriptional regulator
chr	NC_017586.1	223579	224013	-	-	-	SCATT_RS35840	WP_014140947.1	144	hypothetical protein
chr	NC_017586.1	224010	224474	-	-	-	SCATT_RS35845	WP_014140948.1	154	hypothetical protein
chr	NC_017586.1	224564	225478	-	-	-	SCATT_RS00790	WP_014140949.1	304	transcriptional regulator CynR
chr	NC_017586.1	225659	226249	+	-	-	SCATT_RS00795	WP_014140950.1	196	carbonate dehydratase
chr	NC_017586.1	226373	226843	+	-	cynS	SCATT_RS00800	WP_014140951.1	156	cyanase
chr	NC_017586.1	226914	227414	+	-	-	SCATT_RS00805	WP_014140952.1	166	nucleoside deaminase
chr	NC_017586.1	227423	227830	+	-	-	SCATT_RS00810	WP_014627248.1	135	NUDIX domain-containing protein
chr	NC_017586.1	228079	228354	+	-	-	SCATT_RS00815	WP_041824305.1	91	hypothetical protein
chr	NC_017586.1	228341	229369	-	-	-	SCATT_RS00820	WP_014140955.1	342	nitronate monooxygenase
chr	NC_017586.1	229905	230720	-	-	-	SCATT_RS00825	WP_014140957.1	271	hypothetical protein
chr	NC_017586.1	231320	232090	-	-	-	SCATT_RS00835	WP_014627237.1	256	IS5/IS1182 family transposase
chr	NC_017586.1	232134	239966	-	-	-	SCATT_RS00840	WP_014140959.1	2610	KR domain-containing protein
chr	NC_017586.1	240142	241182	-	-	-	SCATT_RS00845	WP_014140960.1	346	acyl-CoA desaturase
chr	NC_017586.1	241417	242454	-	-	-	SCATT_RS00850	WP_014140961.1	345	hypothetical protein
chr	NC_017586.1	242529	243143	+	-	-	SCATT_RS00855	WP_014140962.1	204	TetR family transcriptional regulator
chr	NC_017586.1	243377	244375	+	-	-	SCATT_RS00860	WP_014140963.1	332	AraC family transcriptional regulator
chr	NC_017586.1	244447	245337	-	-	-	SCATT_RS00865	WP_014140964.1	296	NmrA family transcriptional regulator
chr	NC_017586.1	245413	246495	-	-	-	SCATT_RS00870	WP_014140965.1	360	histidinol-phosphate transaminase
chr	NC_017586.1	246492	248321	-	-	-	SCATT_RS00875	WP_014140966.1	609	thiamine pyrophosphate-binding protein
chr	NC_017586.1	248405	249433	-	-	-	SCATT_RS00880	WP_014140967.1	342	3-oxoacyl-ACP synthase
chr	NC_017586.1	249438	250139	-	-	-	SCATT_RS00885	WP_014140968.1	233	hypothetical protein
chr	NC_017586.1	250136	250672	-	-	-	SCATT_RS00890	WP_014140969.1	178	hypothetical protein
chr	NC_017586.1	250802	251956	-	-	-	SCATT_RS00895	WP_014140970.1	384	peroxidase
chr	NC_017586.1	252060	253400	+	-	-	SCATT_RS00900	WP_014140971.1	446	plasmid stabilization protein
chr	NC_017586.1	253408	254088	-	-	-	SCATT_RS00905	WP_014140972.1	226	hypothetical protein
chr	NC_017586.1	255939	256706	-	-	-	SCATT_RS00915	WP_078590599.1	255	tRNA-dependent cyclodipeptide synthase
chr	NC_017586.1	257153	257842	-	-	-	SCATT_RS00920	WP_014140976.1	229	DNA-binding response regulator
chr	NC_017586.1	258122	259858	+	-	-	SCATT_RS00925	WP_014140977.1	578	histidine kinase
chr	NC_017586.1	259860	260516	-	-	-	SCATT_RS00930	WP_014140978.1	218	hypothetical protein
chr	NC_017586.1	260703	260981	+	-	-	SCATT_RS00935	WP_014140979.1	92	copper chaperone
chr	NC_017586.1	261024	263312	+	-	-	SCATT_RS00940	WP_014140980.1	762	Cu(2+)-exporting ATPase
chr	NC_017586.1	263379	265034	-	-	-	SCATT_RS00945	WP_014140981.1	551	divalent metal cation transporter
chr	NC_017586.1	265026	265436	+	-	-	SCATT_RS35860	WP_014626798.1	136	hypothetical protein
chr	NC_017586.1	266477	267505	-	-	-	SCATT_RS00955	WP_014140983.1	342	DUF2891 domain-containing protein
chr	NC_017586.1	267502	268146	-	-	pcp	SCATT_RS00960	WP_014140984.1	214	pyroglutamyl-peptidase I
chr	NC_017586.1	268158	269126	-	-	-	SCATT_RS00965	WP_014140985.1	322	DUF979 domain-containing protein
chr	NC_017586.1	269123	269848	-	-	-	SCATT_RS00970	WP_014140986.1	241	DUF969 domain-containing protein
chr	NC_017586.1	270055	270771	-	-	-	SCATT_RS00975	WP_014140987.1	238	GntR family transcriptional regulator
chr	NC_017586.1	270928	271776	+	-	-	SCATT_RS00980	WP_014140988.1	282	LamB/YcsF family protein
chr	NC_017586.1	271773	272399	+	-	-	SCATT_RS00985	WP_014140989.1	208	allophanate hydrolase subunit 1
chr	NC_017586.1	272396	273259	+	-	-	SCATT_RS00990	WP_014140990.1	287	allophanate hydrolase
chr	NC_017586.1	273662	275863	+	-	-	SCATT_RS00995	WP_014627260.1	733	Serine phosphatase RsbU regulator of sigma subunit-like protein
chr	NC_017586.1	276336	278090	+	-	ctaD	SCATT_RS01000	WP_014140993.1	584	cytochrome c oxidase subunit I
chr	NC_017586.1	278087	278581	+	-	-	SCATT_RS01005	WP_014140994.1	164	hypothetical protein
chr	NC_017586.1	278630	279256	-	-	-	SCATT_RS01010	WP_014140995.1	208	NADP oxidoreductase
chr	NC_017586.1	279381	280472	+	-	-	SCATT_RS01015	WP_014140996.1	363	glutamate--cysteine ligase
chr	NC_017586.1	280489	281541	-	-	-	SCATT_RS01020	WP_014140997.1	350	hypothetical protein
chr	NC_017586.1	281774	282208	+	-	-	SCATT_RS01025	WP_014140998.1	144	CBS domain-containing protein
chr	NC_017586.1	282315	284036	+	-	-	SCATT_RS01030	WP_014140999.1	573	DNA polymerase/3\'-5\' exonuclease PolX, partial
chr	NC_017586.1	284095	285255	-	-	-	SCATT_RS01035	WP_014141000.1	386	hypothetical protein
chr	NC_017586.1	285427	285699	+	-	-	SCATT_RS01040	WP_014141001.1	90	DUF1876 domain-containing protein
chr	NC_017586.1	285715	285936	-	-	-	SCATT_RS01045	WP_014141002.1	73	hypothetical protein
chr	NC_017586.1	285933	287249	-	-	-	SCATT_RS01050	WP_014141003.1	438	phosphoribosyltransferase
chr	NC_017586.1	287445	288329	+	-	-	SCATT_RS01055	WP_014141004.1	294	polysaccharide deacetylase
chr	NC_017586.1	288409	288873	-	-	-	SCATT_RS01060	WP_014141005.1	154	hypothetical protein
chr	NC_017586.1	289051	289440	-	-	-	SCATT_RS01065	WP_014141006.1	129	membrane protein
chr	NC_017586.1	289437	291122	-	-	ctaD	SCATT_RS01070	WP_014627265.1	561	cytochrome c oxidase subunit I
chr	NC_017586.1	291369	291812	+	-	-	SCATT_RS01075	WP_014141008.1	147	transcriptional regulator
chr	NC_017586.1	291951	293138	+	-	-	SCATT_RS01080	WP_014141009.1	395	hemin transporter
chr	NC_017586.1	293182	293574	+	-	-	SCATT_RS01085	WP_014141010.1	130	DUF393 domain-containing protein
chr	NC_017586.1	293712	294584	-	-	-	SCATT_RS01090	WP_014141011.1	290	DUF2637 domain-containing protein
chr	NC_017586.1	294581	294772	-	-	-	SCATT_RS01095	WP_014141012.1	63	hypothetical protein
chr	NC_017586.1	295156	295545	+	-	-	SCATT_RS01100	WP_014627268.1	129	hypothetical protein
chr	NC_017586.1	295724	296860	+	-	-	SCATT_RS01105	WP_014141014.1	378	esterase family protein
chr	NC_017586.1	296847	297248	-	-	-	SCATT_RS01110	WP_014141015.1	133	SRPBCC family protein
chr	NC_017586.1	297408	298505	-	-	-	SCATT_RS01115	WP_014141016.1	365	serine/threonine-protein phosphatase
chr	NC_017586.1	298890	299689	-	-	-	SCATT_RS35865	WP_086010105.1	266	IS5/IS1182 family transposase
chr	NC_017586.1	299923	300588	+	-	-	SCATT_RS01130	WP_014141020.1	221	hypothetical protein
chr	NC_017586.1	301726	301929	+	-	-	SCATT_RS01135	WP_014141022.1	67	hypothetical protein
chr	NC_017586.1	302000	302707	+	-	-	SCATT_RS01140	WP_014141023.1	235	hypothetical protein
chr	NC_017586.1	302711	303637	+	-	-	SCATT_RS01145	WP_014141024.1	308	hypothetical protein
chr	NC_017586.1	303634	304701	+	-	-	SCATT_RS01150	WP_014141025.1	355	penicillin-binding protein
chr	NC_017586.1	304798	305241	+	-	-	SCATT_RS01155	WP_014141026.1	147	anti-sigma factor antagonist
chr	NC_017586.1	305276	306085	+	-	-	SCATT_RS01160	WP_014627270.1	269	polysaccharide deacetylase family protein
chr	NC_017586.1	306157	306564	+	-	-	SCATT_RS01165	WP_014141028.1	135	hypothetical protein
chr	NC_017586.1	306577	307443	-	-	-	SCATT_RS01170	WP_014141029.1	288	Fpg/Nei family DNA glycosylase
chr	NC_017586.1	307483	309018	-	-	-	SCATT_RS01175	WP_014141030.1	511	APC family permease
chr	NC_017586.1	309163	310272	+	-	-	SCATT_RS01180	WP_014141031.1	369	endoglucanase
chr	NC_017586.1	310220	312151	-	-	-	SCATT_RS01185	WP_014141032.1	643	DUF1929 domain-containing protein
chr	NC_017586.1	312185	314026	-	-	-	SCATT_RS01190	WP_014141033.1	613	glycosyl transferase
chr	NC_017586.1	314205	315188	-	-	-	SCATT_RS01195	WP_014141034.1	327	MBL fold metallo-hydrolase
chr	NC_017586.1	315391	316998	+	-	-	SCATT_RS01200	WP_014141036.1	535	proline/glycine betaine transporter ProP
chr	NC_017586.1	317768	318817	-	-	-	SCATT_RS01205	WP_014141038.1	349	threonine dehydrogenase
chr	NC_017586.1	319028	321115	+	-	-	SCATT_RS01210	WP_014141039.1	695	PAS domain S-box protein
chr	NC_017586.1	321132	322232	-	-	-	SCATT_RS01215	WP_014627276.1	366	AI-2E family transporter
chr	NC_017586.1	322229	322927	-	-	-	SCATT_RS01220	WP_014141041.1	232	HAD family hydrolase
chr	NC_017586.1	323026	324192	-	-	-	SCATT_RS01225	WP_014141042.1	388	alcohol dehydrogenase
chr	NC_017586.1	324410	325081	-	-	-	SCATT_RS01230	WP_014141043.1	223	DUF4142 domain-containing protein
chr	NC_017586.1	325644	327761	+	-	katE	SCATT_RS01235	WP_014141045.1	705	catalase HPII
chr	NC_017586.1	327814	328776	+	-	-	SCATT_RS01240	WP_014141046.1	320	KR domain-containing protein
chr	NC_017586.1	328789	330066	-	-	-	SCATT_RS01245	WP_014141047.1	425	hypothetical protein
chr	NC_017586.1	330267	331463	-	-	-	SCATT_RS01250	WP_014141048.1	398	serine/threonine-protein phosphatase
chr	NC_017586.1	332007	333800	+	-	-	SCATT_RS01255	WP_014141049.1	597	alpha-amlyase
chr	NC_017586.1	333859	336231	-	-	-	SCATT_RS01260	WP_014141050.1	790	glycoside hydrolase family 92 protein
chr	NC_017586.1	336382	336894	+	-	-	SCATT_RS01265	WP_014627279.1	170	ArsR family transcriptional regulator
chr	NC_017586.1	338315	338698	+	-	-	SCATT_RS01280	WP_014141054.1	127	DUF2267 domain-containing protein
