#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
Un	NZ_JODY01000001.1	69192	70220	+	-	-	IF23_RS0100235	WP_030278398.1	342	N-acetyl-gamma-glutamyl-phosphate reductase
Un	NZ_JODY01000001.1	70306	71484	+	-	-	IF23_RS0100245	WP_030278400.1	392	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
Un	NZ_JODY01000001.1	71543	72469	+	-	-	IF23_RS0100250	WP_030278402.1	308	acetylglutamate kinase
Un	NZ_JODY01000001.1	72466	73683	+	-	-	IF23_RS0100255	WP_030278404.1	405	acetylornithine transaminase
Un	NZ_JODY01000001.1	73691	74233	+	-	-	IF23_RS0100260	WP_030278406.1	180	arginine repressor
Un	NZ_JODY01000001.1	74352	74681	-	-	-	IF23_RS0100265	WP_030278408.1	109	molecular chaperone DnaK
Un	NZ_JODY01000001.1	74959	76083	+	-	-	IF23_RS0100270	WP_078653701.1	374	sensor histidine kinase
Un	NZ_JODY01000001.1	76080	76748	+	-	-	IF23_RS0100275	WP_030278412.1	222	DNA-binding response regulator
Un	NZ_JODY01000001.1	76798	77376	+	-	-	IF23_RS0100280	WP_030278414.1	192	hypothetical protein
Un	NZ_JODY01000001.1	77443	79914	+	-	-	IF23_RS0100285	WP_030278417.1	823	protein translocase subunit SecD
Un	NZ_JODY01000001.1	80309	80689	+	-	-	IF23_RS0100295	WP_030278418.1	126	DUF488 domain-containing protein
Un	NZ_JODY01000001.1	80955	82382	+	-	-	IF23_RS0100300	WP_030278420.1	475	argininosuccinate lyase
Un	NZ_JODY01000001.1	82516	83067	+	-	-	IF23_RS0100305	WP_030278422.1	183	TetR family transcriptional regulator
Un	NZ_JODY01000001.1	83064	84644	+	-	-	IF23_RS0100310	WP_051739047.1	526	MFS transporter
Un	NZ_JODY01000001.1	85032	86993	+	-	-	IF23_RS0100315	WP_030278426.1	653	bifunctional metallophosphatase/5\'-nucleotidase
Un	NZ_JODY01000001.1	87054	87722	-	-	-	IF23_RS0100320	WP_030278428.1	222	1-acyl-sn-glycerol-3-phosphate acyltransferase
Un	NZ_JODY01000001.1	87980	89167	+	-	-	IF23_RS0100325	WP_030278430.1	395	glycerophosphodiester phosphodiesterase
Un	NZ_JODY01000001.1	89467	89970	+	-	-	IF23_RS0100330	WP_030278431.1	167	N-acetyltransferase
Un	NZ_JODY01000001.1	90027	90467	-	-	-	IF23_RS0100335	WP_030278433.1	146	hypothetical protein
Un	NZ_JODY01000001.1	90460	90828	-	-	-	IF23_RS0100340	WP_030278435.1	122	hypothetical protein
Un	NZ_JODY01000001.1	91514	92587	+	-	-	IF23_RS0100345	WP_030278437.1	357	methionine ABC transporter ATP-binding protein
Un	NZ_JODY01000001.1	92584	93333	+	-	-	IF23_RS0100350	WP_030278439.1	249	ABC transporter permease
Un	NZ_JODY01000001.1	93408	94262	+	-	-	IF23_RS0100355	WP_030278441.1	284	metal ABC transporter substrate-binding protein
Un	NZ_JODY01000001.1	94438	95070	+	-	-	IF23_RS0100360	WP_030278443.1	210	N-acetyltransferase
Un	NZ_JODY01000001.1	95232	96458	+	-	-	IF23_RS0100365	WP_030278446.1	408	precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE
Un	NZ_JODY01000001.1	96709	100971	+	-	-	IF23_RS0100370	WP_030278448.1	1420	5,6-dimethylbenzimidazole synthase
Un	NZ_JODY01000001.1	101603	102838	+	-	-	IF23_RS0100375	WP_030278452.1	411	uroporphyrinogen-III C-methyltransferase
Un	NZ_JODY01000001.1	102891	103766	+	-	-	IF23_RS0100380	WP_030278454.1	291	RNA methyltransferase
Un	NZ_JODY01000001.1	104052	104486	-	-	-	IF23_RS0100385	WP_051739049.1	144	hypothetical protein
Un	NZ_JODY01000001.1	104632	105084	+	-	-	IF23_RS0100390	WP_030278458.1	150	redox-sensitive transcriptional activator SoxR
Un	NZ_JODY01000001.1	105114	105698	-	-	-	IF23_RS0100395	WP_030278460.1	194	NADPH-dependent oxidoreductase
Un	NZ_JODY01000001.1	105786	106013	-	-	-	IF23_RS0100400	WP_030278462.1	75	hypothetical protein
Un	NZ_JODY01000001.1	106456	107835	-	-	-	IF23_RS0100405	WP_030278464.1	459	serine/threonine protein kinase
Un	NZ_JODY01000001.1	108490	108699	+	-	-	IF23_RS0100410	WP_030278466.1	69	hypothetical protein
Un	NZ_JODY01000001.1	109607	110677	+	-	-	IF23_RS0100440	WP_078653702.1	356	chloride transporter
Un	NZ_JODY01000001.1	110674	111498	+	-	-	IF23_RS0100445	WP_030278470.1	274	aminodeoxychorismate lyase
Un	NZ_JODY01000001.1	111533	112363	+	-	-	IF23_RS0100450	WP_030278472.1	276	N-acetyltransferase
Un	NZ_JODY01000001.1	112371	112907	-	-	-	IF23_RS0100455	WP_030278474.1	178	DSBA oxidoreductase
Un	NZ_JODY01000001.1	113082	113531	+	-	-	IF23_RS0100460	WP_030278475.1	149	hypothetical protein
Un	NZ_JODY01000001.1	113780	114346	-	-	-	IF23_RS0100470	WP_030278477.1	188	hypothetical protein
Un	NZ_JODY01000001.1	114574	114987	-	-	-	IF23_RS0100475	WP_003959770.1	137	MULTISPECIES: SsgA family sporulation/cell division regulator
Un	NZ_JODY01000001.1	115599	116060	+	-	-	IF23_RS0100485	WP_030278479.1	153	polyketide cyclase
Un	NZ_JODY01000001.1	116364	117089	-	-	-	IF23_RS0100495	WP_078653730.1	241	DNA polymerase III subunit epsilon
Un	NZ_JODY01000001.1	117570	118673	+	-	-	IF23_RS0100500	WP_051739109.1	367	hypothetical protein
Un	NZ_JODY01000001.1	118888	120867	+	-	-	IF23_RS0100505	WP_030278485.1	659	threonine--tRNA ligase
Un	NZ_JODY01000001.1	120944	121585	-	-	-	IF23_RS0100510	WP_030278487.1	213	two pore domain potassium channel family protein
Un	NZ_JODY01000001.1	121653	122210	+	-	-	IF23_RS0100515	WP_030278489.1	185	HIT domain-containing protein
Un	NZ_JODY01000001.1	122340	123101	+	-	-	IF23_RS0100520	WP_030278491.1	253	polysaccharide deacetylase family protein
Un	NZ_JODY01000001.1	123101	124294	+	-	-	IF23_RS0100525	WP_030278493.1	397	hypothetical protein
Un	NZ_JODY01000001.1	124389	126065	-	-	-	IF23_RS0100530	WP_078653703.1	558	hypothetical protein
Un	NZ_JODY01000001.1	126187	128364	-	-	-	IF23_RS0100535	WP_030278497.1	725	elongation factor G-like protein EF-G2
Un	NZ_JODY01000001.1	128582	129241	+	-	-	IF23_RS0100540	WP_030278499.1	219	CDP-alcohol phosphatidyltransferase family protein
Un	NZ_JODY01000001.1	129238	130167	+	-	-	IF23_RS0100545	WP_030278501.1	309	phosphatidylinositol mannoside acyltransferase
Un	NZ_JODY01000001.1	130164	131357	+	-	-	IF23_RS0100550	WP_030278503.1	397	glycosyltransferase family 1 protein
Un	NZ_JODY01000001.1	131435	131980	+	-	-	IF23_RS0100555	WP_030278505.1	181	hypothetical protein
Un	NZ_JODY01000001.1	132099	133010	+	-	-	IF23_RS0100560	WP_030278507.1	303	pyridoxal 5\'-phosphate synthase lyase subunit PdxS
Un	NZ_JODY01000001.1	133019	133609	+	-	-	IF23_RS0100565	WP_030278510.1	196	pyridoxal 5\'-phosphate synthase glutaminase subunit PdxT
Un	NZ_JODY01000001.1	133671	134423	+	-	-	IF23_RS0100570	WP_030278512.1	250	YebC/PmpR family DNA-binding transcriptional regulator
Un	NZ_JODY01000001.1	134620	135195	+	-	-	IF23_RS0100575	WP_030278514.1	191	crossover junction endodeoxyribonuclease RuvC
Un	NZ_JODY01000001.1	135192	135806	+	-	-	IF23_RS0100580	WP_030278517.1	204	Holliday junction branch migration protein RuvA
Un	NZ_JODY01000001.1	135893	136981	+	-	-	IF23_RS0100585	WP_030278519.1	362	Holliday junction branch migration DNA helicase RuvB
Un	NZ_JODY01000001.1	137065	137646	+	-	-	IF23_RS0100590	WP_078653704.1	193	preprotein translocase subunit YajC
Un	NZ_JODY01000001.1	137795	139573	+	-	-	IF23_RS0100595	WP_030278523.1	592	protein translocase subunit SecD
Un	NZ_JODY01000001.1	139575	140684	+	-	-	IF23_RS0100600	WP_030278525.1	369	protein translocase subunit SecF
Un	NZ_JODY01000001.1	140681	141229	+	-	-	IF23_RS0100605	WP_030278527.1	182	adenine phosphoribosyltransferase
Un	NZ_JODY01000001.1	141413	144016	+	-	-	IF23_RS0100610	WP_030278529.1	867	RelA/SpoT family protein
Un	NZ_JODY01000001.1	144092	145321	-	-	-	IF23_RS0100615	WP_030278531.1	409	DUF349 domain-containing protein
Un	NZ_JODY01000001.1	145540	146361	-	-	-	IF23_RS0100620	WP_030278533.1	273	peptidylprolyl isomerase
Un	NZ_JODY01000001.1	146575	147288	+	-	-	IF23_RS0100625	WP_030278536.1	237	MBL fold metallo-hydrolase
Un	NZ_JODY01000001.1	147300	148562	+	-	-	IF23_RS0100630	WP_030278539.1	420	histidine--tRNA ligase
Un	NZ_JODY01000001.1	148921	149556	+	-	-	IF23_RS0100635	WP_030278541.1	211	vitamin K epoxide reductase
Un	NZ_JODY01000001.1	149650	151011	+	-	-	IF23_RS0100640	WP_037677015.1	453	replication-associated recombination protein A
Un	NZ_JODY01000001.1	151051	151806	-	-	-	IF23_RS0100645	WP_030278545.1	251	DUF2470 domain-containing protein
Un	NZ_JODY01000001.1	151989	152600	+	-	-	IF23_RS0100650	WP_030278547.1	203	MULTISPECIES: 30S ribosomal protein S4
Un	NZ_JODY01000001.1	152928	153347	+	-	-	IF23_RS0100655	WP_030278550.1	139	DUF948 domain-containing protein
Un	NZ_JODY01000001.1	153356	153703	+	-	-	IF23_RS0100660	WP_030278552.1	115	hypothetical protein
Un	NZ_JODY01000001.1	153703	156372	+	-	-	IF23_RS0100665	WP_030278554.1	889	alanine--tRNA ligase
Un	NZ_JODY01000001.1	156386	156850	+	-	-	IF23_RS0100670	WP_030278556.1	154	Holliday junction resolvase RuvX
Un	NZ_JODY01000001.1	156971	158782	+	-	-	IF23_RS0100675	WP_030278557.1	603	endolytic transglycosylase MltG
Un	NZ_JODY01000001.1	158775	159620	+	-	-	IF23_RS0100680	WP_030278560.1	281	shikimate dehydrogenase
Un	NZ_JODY01000001.1	159732	160916	+	-	-	IF23_RS0100685	WP_030278562.1	394	chorismate synthase
Un	NZ_JODY01000001.1	160913	161467	+	-	-	IF23_RS0100690	WP_030278563.1	184	shikimate kinase
Un	NZ_JODY01000001.1	161464	162555	+	-	-	IF23_RS0100695	WP_030278566.1	363	3-dehydroquinate synthase
Un	NZ_JODY01000001.1	162629	163069	+	-	-	IF23_RS0100700	WP_030278568.1	146	type II 3-dehydroquinate dehydratase
Un	NZ_JODY01000001.1	163301	164242	+	-	-	IF23_RS0100705	WP_030278570.1	313	hypothetical protein
Un	NZ_JODY01000001.1	164346	165452	+	-	-	IF23_RS0100710	WP_030278572.1	368	aminopeptidase P family protein
Un	NZ_JODY01000001.1	165519	166085	+	-	-	IF23_RS0100715	WP_030278574.1	188	elongation factor P
Un	NZ_JODY01000001.1	166088	166522	+	-	-	IF23_RS0100720	WP_030278576.1	144	transcription antitermination factor NusB
Un	NZ_JODY01000001.1	166741	167241	-	-	-	IF23_RS0100725	WP_030278578.1	166	transcriptional regulator
Un	NZ_JODY01000001.1	167528	168109	+	-	-	IF23_RS0100730	WP_030278580.1	193	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
Un	NZ_JODY01000001.1	168208	169191	+	-	-	IF23_RS0100735	WP_030278581.1	327	aspartate carbamoyltransferase catalytic subunit
Un	NZ_JODY01000001.1	169194	170480	+	-	-	IF23_RS0100740	WP_030278584.1	428	dihydroorotase
Un	NZ_JODY01000001.1	170477	171070	+	-	-	IF23_RS0100745	WP_030278586.1	197	hypothetical protein
Un	NZ_JODY01000001.1	171067	172206	+	-	-	IF23_RS0100750	WP_030278588.1	379	carbamoyl-phosphate synthase small subunit
Un	NZ_JODY01000001.1	172199	175507	+	-	carB	IF23_RS0100755	WP_030278590.1	1102	carbamoyl-phosphate synthase large subunit
Un	NZ_JODY01000001.1	175593	176699	+	-	-	IF23_RS0100760	WP_030278592.1	368	quinone-dependent dihydroorotate dehydrogenase
Un	NZ_JODY01000001.1	176696	177556	+	-	-	IF23_RS0100765	WP_030278593.1	286	orotidine-5\'-phosphate decarboxylase
Un	NZ_JODY01000001.1	177755	178078	+	-	-	IF23_RS0100770	WP_030278594.1	107	integration host factor MihF
Un	NZ_JODY01000001.1	178117	178734	+	-	-	IF23_RS0100775	WP_051739052.1	205	guanylate kinase
Un	NZ_JODY01000001.1	178809	179081	+	-	-	IF23_RS0100780	WP_005319902.1	90	MULTISPECIES: DNA-directed RNA polymerase subunit omega
Un	NZ_JODY01000001.1	179220	180461	+	-	-	IF23_RS0100785	WP_037676955.1	413	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
Un	NZ_JODY01000001.1	180709	181929	+	-	-	IF23_RS0100790	WP_030278597.1	406	methionine adenosyltransferase
Un	NZ_JODY01000001.1	182017	183477	-	-	-	IF23_RS0100795	WP_030278598.1	486	hypothetical protein
Un	NZ_JODY01000001.1	183502	183951	-	-	-	IF23_RS0100800	WP_030278599.1	149	DUF296 domain-containing protein
Un	NZ_JODY01000001.1	183957	184907	-	-	-	IF23_RS0100805	WP_078653705.1	316	hypothetical protein
Un	NZ_JODY01000001.1	184920	185678	-	-	-	IF23_RS0100810	WP_030278602.1	252	PIG-L family deacetylase
Un	NZ_JODY01000001.1	185675	186505	-	-	-	IF23_RS0100815	WP_030278604.1	276	SAM-dependent methyltransferase
Un	NZ_JODY01000001.1	186594	187055	-	-	-	IF23_RS0100820	WP_030278605.1	153	dehydratase
Un	NZ_JODY01000001.1	187063	187710	-	-	-	IF23_RS0100825	WP_030278606.1	215	maleylpyruvate isomerase family mycothiol-dependent enzyme
Un	NZ_JODY01000001.1	187707	187949	-	-	-	IF23_RS0100830	WP_030278607.1	80	hypothetical protein
Un	NZ_JODY01000001.1	188027	188848	-	-	-	IF23_RS0100835	WP_051739054.1	273	hypothetical protein
Un	NZ_JODY01000001.1	188869	189768	-	-	-	IF23_RS0100840	WP_030278609.1	299	hypothetical protein
Un	NZ_JODY01000001.1	190394	192529	+	-	-	IF23_RS0100845	WP_030278612.1	711	primosomal protein N\'
Un	NZ_JODY01000001.1	192663	193205	-	-	-	IF23_RS0100850	WP_030278614.1	180	hypothetical protein
Un	NZ_JODY01000001.1	193527	194465	+	-	-	IF23_RS0100855	WP_030278616.1	312	methionyl-tRNA formyltransferase
Un	NZ_JODY01000001.1	194610	196043	+	-	-	IF23_RS0100860	WP_030278617.1	477	rRNA cytosine-C5-methyltransferase
Un	NZ_JODY01000001.1	196165	197610	-	-	-	IF23_RS0100865	WP_030278619.1	481	glyceraldehyde-3-phosphate dehydrogenase
Un	NZ_JODY01000001.1	197806	198486	+	-	-	IF23_RS0100870	WP_030278621.1	226	ribulose-phosphate 3-epimerase
Un	NZ_JODY01000001.1	198691	199680	+	-	-	IF23_RS0100875	WP_030278623.1	329	transcriptional regulator
Un	NZ_JODY01000001.1	199770	200222	+	-	-	IF23_RS0100880	WP_030278625.1	150	guanine-specific ribonuclease N1 and T1
Un	NZ_JODY01000001.1	200219	200659	+	-	-	IF23_RS0100885	WP_030278628.1	146	hypothetical protein
Un	NZ_JODY01000001.1	200770	202233	+	-	-	IF23_RS0100890	WP_030278630.1	487	GuaB1 family IMP dehydrogenase-related protein
Un	NZ_JODY01000001.1	202578	204044	+	-	-	IF23_RS0100895	WP_030278631.1	488	amino acid permease
Un	NZ_JODY01000001.1	204055	204510	+	-	-	IF23_RS0100900	WP_030278633.1	151	Lrp/AsnC family transcriptional regulator
Un	NZ_JODY01000001.1	204690	205493	+	-	-	IF23_RS0100905	WP_030278636.1	267	carbon-nitrogen hydrolase
Un	NZ_JODY01000001.1	205553	207244	+	-	-	IF23_RS0100910	WP_030278638.1	563	NAD(P)/FAD-dependent oxidoreductase
Un	NZ_JODY01000001.1	207363	208079	-	-	-	IF23_RS0100915	WP_051739055.1	238	hypothetical protein
Un	NZ_JODY01000001.1	208275	208730	+	-	-	IF23_RS0100920	WP_030278642.1	151	hypothetical protein
Un	NZ_JODY01000001.1	208894	210282	+	-	-	IF23_RS0100925	WP_030278643.1	462	uracil permease
Un	NZ_JODY01000001.1	210582	214679	+	-	-	IF23_RS0100930	WP_078653706.1	1365	hypothetical protein
Un	NZ_JODY01000001.1	214676	216085	+	-	-	IF23_RS0100935	WP_051739057.1	469	aspartate aminotransferase family protein
Un	NZ_JODY01000001.1	216107	217027	+	-	-	IF23_RS0100940	WP_051739059.1	306	aspartate kinase
Un	NZ_JODY01000001.1	217024	217779	+	-	-	IF23_RS30810	WP_051739062.1	251	hypothetical protein
Un	NZ_JODY01000001.1	217745	218650	-	-	-	IF23_RS0100950	WP_037677028.1	301	hypothetical protein
Un	NZ_JODY01000001.1	218999	220321	-	-	-	IF23_RS0100955	WP_030278654.1	440	sensor histidine kinase
Un	NZ_JODY01000001.1	220324	221007	-	-	-	IF23_RS0100960	WP_030278656.1	227	DNA-binding response regulator
Un	NZ_JODY01000001.1	221147	221497	-	-	-	IF23_RS0100965	WP_030278658.1	116	hypothetical protein
Un	NZ_JODY01000001.1	221881	222525	+	-	-	IF23_RS0100970	WP_030278659.1	214	LysE family translocator
Un	NZ_JODY01000001.1	222769	223302	+	-	-	IF23_RS0100975	WP_078653707.1	177	acyl-CoA thioesterase
Un	NZ_JODY01000001.1	223437	224708	-	-	-	IF23_RS0100980	WP_030278664.1	423	MFS transporter
Un	NZ_JODY01000001.1	224935	226218	+	-	-	IF23_RS0100985	WP_030278666.1	427	transcriptional regulator
Un	NZ_JODY01000001.1	226261	227034	-	-	-	IF23_RS0100990	WP_030278667.1	257	nucleoside-diphosphate sugar epimerase
Un	NZ_JODY01000001.1	227546	228640	+	-	-	IF23_RS0100995	WP_037677031.1	364	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
Un	NZ_JODY01000001.1	228642	229259	+	-	-	IF23_RS0101000	WP_030278672.1	205	riboflavin synthase
Un	NZ_JODY01000001.1	229256	229909	+	-	-	IF23_RS0101005	WP_030278674.1	217	membrane protein
Un	NZ_JODY01000001.1	229906	231189	+	-	-	IF23_RS0101010	WP_030278676.1	427	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II
Un	NZ_JODY01000001.1	231240	231725	+	-	-	IF23_RS0101015	WP_030278678.1	161	6,7-dimethyl-8-ribityllumazine synthase
Un	NZ_JODY01000001.1	231903	232175	+	-	-	IF23_RS0101020	WP_030278680.1	90	phosphoribosyl-ATP diphosphatase
Un	NZ_JODY01000001.1	232226	233074	+	-	-	IF23_RS0101025	WP_030278682.1	282	ATP phosphoribosyltransferase
Un	NZ_JODY01000001.1	233121	233573	+	-	-	IF23_RS0101030	WP_030278684.1	150	membrane protein
Un	NZ_JODY01000001.1	233763	235118	+	-	-	IF23_RS0101035	WP_030278686.1	451	HlyC/CorC family transporter
Un	NZ_JODY01000001.1	235115	236269	+	-	-	IF23_RS0101040	WP_078653708.1	384	HlyC/CorC family transporter
Un	NZ_JODY01000001.1	236328	238205	-	-	-	IF23_RS0101045	WP_030278689.1	625	hypothetical protein
Un	NZ_JODY01000001.1	238687	239271	-	-	-	IF23_RS0101050	WP_030278691.1	194	hypothetical protein
Un	NZ_JODY01000001.1	239520	240896	+	-	-	IF23_RS0101055	WP_030278694.1	458	peptidase C39 family protein
Un	NZ_JODY01000001.1	241100	241477	-	-	-	IF23_RS0101060	WP_030278697.1	125	hypothetical protein
Un	NZ_JODY01000001.1	241757	242554	-	-	-	IF23_RS0101065	WP_037677035.1	265	hypothetical protein
Un	NZ_JODY01000001.1	242957	243748	-	-	-	IF23_RS0101070	WP_051739112.1	263	hypothetical protein
Un	NZ_JODY01000001.1	243820	246600	-	-	-	IF23_RS0101075	WP_030278702.1	926	hypothetical protein
Un	NZ_JODY01000001.1	246597	247049	-	-	-	IF23_RS0101080	WP_030278704.1	150	hypothetical protein
Un	NZ_JODY01000001.1	247173	247484	-	-	-	IF23_RS0101085	WP_030278706.1	103	hypothetical protein
Un	NZ_JODY01000001.1	247532	247864	-	-	-	IF23_RS0101090	WP_030278708.1	110	hypothetical protein
Un	NZ_JODY01000001.1	248040	249458	-	-	-	IF23_RS0101095	WP_030278710.1	472	hypothetical protein
Un	NZ_JODY01000001.1	249544	253503	-	-	-	IF23_RS0101100	WP_030278712.1	1319	type VII secretion protein EccC
Un	NZ_JODY01000001.1	253560	254771	-	-	-	IF23_RS0101105	WP_078653709.1	403	ATPase
Un	NZ_JODY01000001.1	254821	256176	-	-	-	IF23_RS0101115	WP_030278718.1	451	type VII secretion integral membrane protein EccD
Un	NZ_JODY01000001.1	256294	256572	-	-	-	IF23_RS0101120	WP_030278720.1	92	hypothetical protein
Un	NZ_JODY01000001.1	256884	259094	-	-	-	IF23_RS0101125	WP_030278722.1	736	hypothetical protein
Un	NZ_JODY01000001.1	259353	259973	-	-	-	IF23_RS0101130	WP_030278724.1	206	hypothetical protein
Un	NZ_JODY01000001.1	259980	266837	-	-	-	IF23_RS0101135	WP_030278726.1	2285	hypothetical protein
Un	NZ_JODY01000001.1	267196	267492	-	-	-	IF23_RS0101140	WP_037677037.1	98	hypothetical protein
Un	NZ_JODY01000001.1	267779	268246	-	-	-	IF23_RS0101145	WP_030278730.1	155	hypothetical protein
Un	NZ_JODY01000001.1	268387	269703	-	-	-	IF23_RS0101150	WP_030278733.1	438	hypothetical protein
Un	NZ_JODY01000001.1	272512	272922	-	-	-	IF23_RS0101160	WP_051739064.1	136	QacE family quaternary ammonium compound efflux SMR transporter
Un	NZ_JODY01000001.1	272925	273245	-	-	-	IF23_RS0101165	WP_030278739.1	106	QacE family quaternary ammonium compound efflux SMR transporter
Un	NZ_JODY01000001.1	273373	274194	-	-	-	IF23_RS0101170	WP_030278741.1	273	phosphoenolpyruvate hydrolase family protein
Un	NZ_JODY01000001.1	274200	275438	-	-	-	IF23_RS0101175	WP_030278744.1	412	UPF0261 family protein
